SetToDash,Name,UsageCount,Guess,ActualPositionId
,Devreye Alma Elektrik Mühendisi,2,,52c6c90f-5f5e-4711-841d-08ded5cff1a6
,Devreye Alma Elektrik Teknikeri,2,,6e14bee3-3206-4e33-85a2-08ded5cff1a6
,DEVREYE ALMA ŞEFİ,2,,5e6472c0-1889-494a-8466-08ded5cff1a6
,devreyealma süpervizörü,2,,11e679eb-9378-4061-86b6-08ded5cff1a6
,Diesel jenerator -Borusan,2,,36c76c61-99ae-4c7e-83ca-08ded5cff1a6
,EKİPBAŞI,2,,39869f3b-2999-492a-8400-08ded5cff1a6
,Electrical  Foreman,2,,1b195460-0bb9-4843-869c-08ded5cff1a6
,Electrical  Supervisor,2,,b155c0e9-6d14-4d67-850c-08ded5cff1a6
,elektrik,2,,b9e3b3be-dacd-4c17-86dd-08ded5cff1a6
,Elektrik ekipbaşı,2,,0c597753-afd6-4a73-8445-08ded5cff1a6
,Elektrik grup şefi,2,,095cf2ca-7f08-4aea-838f-08ded5cff1a6
,Elektrik Şefi,2,,d8bf08f9-ec78-485e-9b6b-08ded5cfb542
,Elektrik-Elektronik teknisyeni,2,,3879a722-0996-4f56-8697-08ded5cff1a6
,elektrikçi,2,,245b8253-3b91-4514-862e-08ded5cff1a6
,ELEKTRİK FORMENİ,2,,93c60629-a9e6-48df-8381-08ded5cff1a6
,ELEKTRİK ZAYIF AKIM MONTAJ EKİPBAŞI,2,,b2fee13e-211c-41b4-83b1-08ded5cff1a6
,ENSTRÜMANTASYON VE KONTROL MÜHENDİSİ,2,,8d3bb899-c737-45f7-83e9-08ded5cff1a6
,Enstrümantasyon ve kontrol Süpervizörü,2,,d3e2c4ba-2135-4b02-8510-08ded5cff1a6
,Finans Şefi,2,,2a7542b7-d430-4a3b-83f0-08ded5cff1a6
,FİRMA SAHİBİ,2,,50784c60-5157-4f05-8378-08ded5cff1a6
,Gantry Yardımcı Personel,2,,c3926bff-d10e-49ba-8591-08ded5cff1a6
,Gaz türbini soğutma sistemi uzmanı,2,,9b91f361-8cd2-4b78-84c0-08ded5cff1a6
,GE Anaekipman Trafolarının montaj ve devreye alma işleri,2,review,3fed3761-6361-41c8-85fb-08ded5cff1a6
,GENEL FORMEN,2,,048b9011-4bcc-4bb9-9b86-08ded5cfb542
,Genel Müdür Yardımcısı,2,,918dacc5-26e0-4e25-8542-08ded5cff1a6
,Generator Specialist,2,,9d07be76-d871-4325-8616-08ded5cff1a6
,GRP boruların montaj kontrolleri,2,,d5cc42cd-1448-4e16-9b1f-08ded5cfb542
,GSUT Elektrik Montaj ve Devreye Alma Mühendisi,2,review,1b8a56dd-0e67-4be7-83b7-08ded5cff1a6
,haberleşme uzmanı,2,,76ac10e4-c382-4eb2-86e5-08ded5cff1a6
,I&C Montaj Ekipbaşı,2,review,4aa8fd7a-d3f0-4d7b-83da-08ded5cff1a6
,inşaat formeni,2,,208c2736-6fbf-489a-8676-08ded5cff1a6
,Kalite kontrol inspektörü,2,,9fcd3221-65a7-4ae1-841c-08ded5cff1a6
,Kalite müdürü,2,,87222dbf-2811-431b-9b3c-08ded5cfb542
,KALİTE KONTROL ŞEFİ,2,,6a5884ed-3241-48d5-84c6-08ded5cff1a6
,KAPLİN AYARCISI,2,,5eb11cc2-7eee-4bbf-84eb-08ded5cff1a6
,Kaynak formeni,2,,dd3bdeea-7dea-430f-864d-08ded5cff1a6
,Kimya Mühendisi,2,,91463c23-d099-4e3a-8371-08ded5cff1a6
,kontrol mühendisi,2,,544bb634-dc1b-4563-9abc-08ded5cfb542
,KYT-,2,,8e57e650-7de7-4e02-9af1-08ded5cfb542
